StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1908,20190626,0:00:00,2868,2877.2,2886.8,2866.4,301,481,20190816
IH1909,20190626,0:00:00,2868,2871.2,2882,2861.2,4832,16106,20190920
IH1912,20190626,0:00:00,2862.8,2872,2883.4,2862.8,412,3139,20191220
IH1907,20190627,0:00:00,2894.8,2918.6,2932.4,2891.2,40932,41439,20190719
IH1908,20190627,0:00:00,2891.6,2912.4,2927.6,2888.4,384,543,20190816
IH1909,20190627,0:00:00,2886.8,2908.6,2923,2881.2,6277,16638,20190920
IH1912,20190627,0:00:00,2886.6,2908.8,2923.4,2884.2,573,3134,20191220
IH1907,20190628,0:00:00,2915.6,2919,2920.2,2896.8,34939,38046,20190719
IH1908,20190628,0:00:00,2911.4,2913.2,2913.8,2893.8,422,635,20190816
IH1909,20190628,0:00:00,2905.2,2909,2909.8,2888.2,4408,16288,20190920
IH1912,20190628,0:00:00,2906.4,2911,2911,2889.6,492,3121,20191220
IH1907,20190701,0:00:00,2981,2982.8,2997.2,2962,41384,43088,20190719
IH1908,20190701,0:00:00,3000,2980,3000,2960,563,826,20190816
IH1909,20190701,0:00:00,2970,2977.6,2987,2951.2,6710,17345,20190920
IH1912,20190701,0:00:00,2964,2983.6,2993.6,2954,1569,3873,20191220
IH1907,20190702,0:00:00,2978.6,2980.8,2986,2969.4,23424,38125,20190719
IH1908,20190702,0:00:00,2972.2,2975.2,2982,2967,414,957,20190816
IH1909,20190702,0:00:00,2975,2975,2981,2965,3211,16805,20190920
IH1912,20190702,0:00:00,2975.6,2985,2988.2,2971,831,3947,20191220
IH1907,20190703,0:00:00,2971.8,2953,2974,2942.4,30513,39975,20190719
IH1908,20190703,0:00:00,2966,2950.6,2969.8,2942.2,778,1257,20190816
IH1909,20190703,0:00:00,2963,2952.8,2968.8,2942,4665,17008,20190920
IH1912,20190703,0:00:00,2975.2,2963.2,2977,2954.6,794,4107,20191220
IH1907,20190704,0:00:00,2961.6,2942.8,2964.6,2925.8,30624,38159,20190719
IH1908,20190704,0:00:00,2950.6,2941.8,2962.4,2925,464,1306,20190816
IH1909,20190704,0:00:00,2959.2,2942.2,2964,2927.6,4807,17332,20190920
IH1912,20190704,0:00:00,2970,2954.2,2978,2941,1165,4487,20191220
IH1907,20190705,0:00:00,2943,2950.6,2957.8,2930,27492,37718,20190719
IH1908,20190705,0:00:00,2941.8,2946.8,2955,2930.4,584,1518,20190816
IH1909,20190705,0:00:00,2945.4,2949.2,2956.8,2930.4,3791,17060,20190920
IH1912,20190705,0:00:00,2960.2,2962.2,2968,2945.6,531,4511,20191220
IH1907,20190708,0:00:00,2929.8,2884.2,2932.4,2865.4,40672,40069,20190719
IH1908,20190708,0:00:00,2934,2883,2934,2867.4,1074,1976,20190816
IH1909,20190708,0:00:00,2929.8,2882.8,2935.6,2865,7356,18562,20190920
IH1912,20190708,0:00:00,2945.6,2892.2,2945.6,2878.2,978,4678,20191220
IH1907,20190709,0:00:00,2889.8,2874,2896,2864,26874,35360,20190719
IH1908,20190709,0:00:00,2888.8,2871.4,2894,2863.2,580,1957,20190816
IH1909,20190709,0:00:00,2889.4,2870.8,2896,2860.2,6221,17445,20190920
IH1912,20190709,0:00:00,2892.2,2888,2903,2871.4,665,4798,20191220
IH1907,20190710,0:00:00,2890.8,2874.6,2893,2862.2,24587,34563,20190719
IH1908,20190710,0:00:00,2889.6,2870.2,2891,2859.2,625,1956,20190816
IH1909,20190710,0:00:00,2887.2,2868,2889.4,2856.4,4580,17573,20190920
