,FutureID,ContractNum,Position,Value,Win
20121026,IF1211,1,short,1607360.6285714277,True
20121029,IF1211,1,short,1607368.6285714277,True
20121030,IF1211,1,short,1607367.2285714278,False
20121031,IF1211,1,short,1607357.4285714277,False
20121101,,1,,1613385.4285714277,
20121102,IF1211,1,short,1613379.6285714277,True
20121105,IF1211,1,long,1604902.8285714276,True
20121106,,1,,1593881.142857142,
20121107,IF1211,1,long,1593870.942857142,False
20121108,,1,,1581178.285714285,
20121109,,1,,1581178.285714285,
20121112,,1,,1581178.285714285,
20121113,IF1211,1,short,1581196.085714285,True
20121114,IF1211,1,short,1581193.085714285,False
20121115,IF1211,1,short,1581217.685714285,True
20121116,,1,,1581217.685714285,True
20121119,,1,,1600018.285714285,
20121120,IF1212,1,short,1600005.485714285,True
20121121,IF1212,1,short,1599994.085714285,False
20121122,IF1212,1,short,1599998.885714285,True
20121123,IF1212,1,long,1589205.2857142847,True
20121126,IF1212,1,short,1582924.4857142847,True
20121127,IF1212,1,short,1582946.6857142847,True
20121128,IF1212,1,short,1582962.8857142848,True
20121129,IF1212,1,short,1582979.0857142848,True
20121130,IF1212,1,short,1582966.2857142847,False
20121203,IF1212,1,long,1594106.6857142847,False
20121204,,1,,1584718.2857142847,
20121205,IF1212,1,short,1584709.6857142847,False
20121206,IF1212,1,long,1580621.8857142848,False
20121207,IF1212,1,long,1582172.2857142847,True
20121210,IF1212,1,long,1582185.8857142848,True
20121211,IF1212,1,short,1582831.8857142848,True
20121212,IF1212,1,short,1582824.8857142848,False
20121213,IF1212,1,short,1582840.6857142847,True
20121214,IF1212,1,long,1574906.199999999,True
20121217,IF1212,1,long,1574904.999999999,True
20121218,IF1212,1,long,1574897.999999999,False
20121219,IF1212,1,long,1574901.5999999992,False
20121220,IF1212,1,long,1574922.799999999,True
20121221,,1,,1574922.799999999,True
20121224,,1,,1592849.999999999,
20121225,IF1301,1,long,1592853.199999999,True
20121226,,1,,1593989.999999999,
20121227,,1,,1593989.999999999,
20121228,IF1301,1,long,1593995.999999999,True
20121231,IF1301,1,long,1594034.999999999,True
20130104,IF1301,1,short,1605447.999999999,True
20130107,IF1301,1,long,1604114.199999999,False
20130108,,1,,1592468.5714285704,
20130109,IF1301,1,long,1592452.9714285703,False
20130110,IF1301,1,short,1590786.1714285705,False
20130111,IF1301,1,short,1590825.3714285705,True
20130114,,1,,1594004.5714285704,
20130115,IF1301,1,long,1593996.9714285703,True
20130116,,1,,1585557.4285714275,
20130117,,1,,1585557.4285714275,
20130118,,1,,1585557.4285714275,
20130121,,1,,1589397.4285714275,
20130122,IF1302,1,short,1589388.0285714276,True
20130123,IF1302,1,short,1589375.0285714276,False
20130124,IF1302,1,long,1576535.3714285702,False
20130125,,1,,1554991.7142857132,
20130128,IF1302,1,long,1554995.914285713,True
20130129,IF1302,1,long,1555012.5142857132,True
20130130,IF1302,1,long,1555040.5142857132,True
20130131,IF1302,1,long,1555041.3142857132,True
20130201,IF1302,1,long,1555087.914285713,True
20130204,IF1302,1,long,1555090.914285713,False
20130205,IF1302,1,long,1555114.914285713,True
20130206,IF1302,1,long,1555127.114285713,True
20130207,IF1302,1,long,1555121.3142857132,False
20130208,IF1302,1,short,1592923.114285713,True
