,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20140826,IF1409,,,IF1410,,,
20140827,IF1409,,,IF1410,,,
20140828,IF1409,,,IF1410,,,
20140829,IF1409,,,IF1410,,,
20140901,IF1409,,,IF1410,,,
20140902,IF1409,,,IF1410,,,
20140903,IF1409,,,IF1410,,,
20140904,IF1409,,,IF1410,,,
20140905,IF1409,,,IF1410,,1,1.0
20140909,IF1409,,,IF1410,,,
20140910,IF1409,,,IF1410,,,
20140911,IF1409,,,IF1410,,,
20140912,IF1409,,,IF1410,,,
20140915,IF1409,,,IF1410,,,
20140916,IF1409,,,IF1410,,,
20140917,IF1409,,,IF1410,,,-1.0
20140918,IF1409,,,IF1410,,,-1.0
20140919,IF1409,,,IF1410,,,
20140922,IF1410,,,IF1411,,,
20140923,IF1410,,,IF1411,,,
20140924,IF1410,1,,IF1411,1,,
20140925,IF1410,,,IF1411,,,
20140926,IF1410,,,IF1411,,,
20140929,IF1410,,,IF1411,,,
20140930,IF1410,,,IF1411,,,
20141008,IF1410,,,IF1411,,,
20141009,IF1410,,,IF1411,,,
20141010,IF1410,,,IF1411,,,
20141013,IF1410,,,IF1411,,,
20141014,IF1410,,,IF1411,,,
20141015,IF1410,,,IF1411,,,
20141016,IF1410,,,IF1411,,,
20141017,IF1410,,,IF1411,,,
20141020,IF1411,,,IF1412,,,
20141021,IF1411,,,IF1412,,,
20141022,IF1411,,,IF1412,,,
20141023,IF1411,,,IF1412,,,
20141024,IF1411,,,IF1412,,,
20141027,IF1411,,,IF1412,,,
20141028,IF1411,,,IF1412,,,
20141029,IF1411,,,IF1412,,,
20141030,IF1411,,,IF1412,,,
20141031,IF1411,,,IF1412,,,
20141103,IF1411,,,IF1412,,,
20141104,IF1411,,,IF1412,,,
20141105,IF1411,,,IF1412,,,
20141106,IF1411,,,IF1412,,,
20141107,IF1411,,,IF1412,,,
20141110,IF1411,,,IF1412,,,
20141111,IF1411,,,IF1412,,,
20141112,IF1411,,,IF1412,,,
20141113,IF1411,,,IF1412,,,
20141114,IF1411,,,IF1412,,,
20141117,IF1411,,,IF1412,,,
20141118,IF1411,,,IF1412,,,
20141119,IF1411,,,IF1412,,,
20141120,IF1411,,,IF1412,,,
20141121,IF1411,,,IF1412,,,
20141124,IF1412,,,IF1501,,,
20141125,IF1412,,,IF1501,,,
20141126,IF1412,,,IF1501,,,
20141127,IF1412,,,IF1501,,,
20141128,IF1412,1,,IF1501,1,,1.0
20141201,IF1412,,,IF1501,,,1.0
20141202,IF1412,1,,IF1501,1,1,1.0
20141203,IF1412,,,IF1501,,1,1.0
20141204,IF1412,1,,IF1501,1,1,1.0
20141205,IF1412,,,IF1501,,1,1.0
20141208,IF1412,1,,IF1501,1,1,1.0
20141209,IF1412,-1,,IF1501,-1,,
20141210,IF1412,,,IF1501,1,,
20141211,IF1412,,,IF1501,,,
20141212,IF1412,,,IF1501,,,
20141215,IF1412,,,IF1501,,,
20141216,IF1412,1,,IF1501,1,,
20141217,IF1412,,,IF1501,,1,
20141218,IF1412,,,IF1501,,1,
20141219,IF1412,,,IF1501,,1,
20141222,IF1501,-1,,IF1502,-1,,
20141223,IF1501,-1,,IF1502,-1,,
20141224,IF1501,,,IF1502,,,
20141225,IF1501,1,,IF1502,1,,
20141226,IF1501,1,,IF1502,1,,
20141229,IF1501,,,IF1502,,,
20141230,IF1501,,,IF1502,,,
20141231,IF1501,1,,IF1502,1,,
20150105,IF1501,,,IF1502,,1,1.0
20150106,IF1501,,,IF1502,,1,1.0
20150107,IF1501,,,IF1502,,1,1.0
20150108,IF1501,-1,,IF1502,-1,,
20150109,IF1501,,,IF1502,,,
20150112,IF1501,,,IF1502,,,
20150113,IF1501,,,IF1502,,,
20150114,IF1501,,,IF1502,,,
20150115,IF1501,1,,IF1502,1,,
20150116,IF1501,,,IF1502,,,
20150119,IF1502,-1,,IF1503,-1,,
20150120,IF1502,1,,IF1503,1,,
20150121,IF1502,1,,IF1503,1,,
20150122,IF1502,,,IF1503,,,
20150123,IF1502,,,IF1503,,,
20150126,IF1502,,,IF1503,,,
20150127,IF1502,,,IF1503,,,
20150128,IF1502,,,IF1503,,,
20150129,IF1502,,,IF1503,,,
20150130,IF1502,,,IF1503,,,
20150202,IF1502,,,IF1503,,,
20150203,IF1502,,,IF1503,,,-1.0
20150204,IF1502,,,IF1503,,,-1.0
20150205,IF1502,-1,,IF1503,-1,,-1.0
20150206,IF1502,,,IF1503,,,-1.0
20150209,IF1502,,,IF1503,,,-1.0
20150210,IF1502,,,IF1503,,,
20150211,IF1502,,,IF1503,,,
20150212,IF1502,,,IF1503,,,
20150213,IF1502,,,IF1503,,,
20150216,IF1502,,,IF1503,,,
20150217,IF1502,,,IF1503,,1,1.0
20150225,IF1502,,,IF1503,,,
20150226,IF1503,1,,IF1504,1,,
20150227,IF1503,,,IF1504,,,
20150302,IF1503,,,IF1504,,,
20150303,IF1503,,,IF1504,,,
20150304,IF1503,,,IF1504,,,
20150305,IF1503,,,IF1504,,,
20150306,IF1503,,,IF1504,,,
20150309,IF1503,1,,IF1504,,,
20150310,IF1503,,,IF1504,,,
20150311,IF1503,,,IF1504,,,
20150312,IF1503,,,IF1504,,,
20150313,IF1503,,,IF1504,,,
20150316,IF1503,1,,IF1504,1,1,1.0
20150317,IF1503,,,IF1504,,1,1.0
20150318,IF1503,,,IF1504,,1,1.0
20150319,IF1503,,,IF1504,,1,1.0
20150320,IF1503,,,IF1504,,1,1.0
20150323,IF1504,,,IF1505,,,1.0
20150324,IF1504,,,IF1505,,,1.0
20150325,IF1504,,,IF1505,,,
20150326,IF1504,,,IF1505,,,
20150327,IF1504,,,IF1505,,,
20150330,IF1504,1,,IF1505,1,,
20150331,IF1504,-1,,IF1505,-1,,
20150401,IF1504,,,IF1505,,,
20150402,IF1504,,,IF1505,,,
20150403,IF1504,1,,IF1505,1,1,1.0
20150407,IF1504,,,IF1505,,1,1.0
20150408,IF1504,,,IF1505,,1,1.0
20150409,IF1504,,,IF1505,,,
20150410,IF1504,1,,IF1505,1,1,1.0
20150413,IF1504,,,IF1505,,1,1.0
20150414,IF1504,,,IF1505,,1,1.0
20150415,IF1504,,,IF1505,,,
20150416,IF1504,1,,IF1505,1,1,1.0
20150417,IF1504,,,IF1505,,1,1.0
20150420,IF1505,,,IF1506,,,
20150421,IF1505,,,IF1506,,,1.0
20150422,IF1505,1,,IF1506,1,,1.0
20150423,IF1505,,,IF1506,,,1.0
20150424,IF1505,,,IF1506,,,1.0
20150427,IF1505,,,IF1506,,1,1.0
20150428,IF1505,,,IF1506,,,
20150429,IF1505,,,IF1506,,,
20150430,IF1505,,,IF1506,,,
20150504,IF1505,,,IF1506,,,
20150505,IF1505,-1,,IF1506,-1,,
20150506,IF1505,,,IF1506,,,
20150507,IF1505,,,IF1506,,,
