,curr_mon_con,next_mon_con,curr_mon_PV,next_mon_PV,curr_signal,next_signal,SettleWeekFlag
20190917,IF1909,IF1910,0.03798830312312062,-0.20366646160751972,1.0,-1.0,1
20190918,IF1909,IF1910,0.16887727630117846,0.1422955923805206,1.0,1.0,1
20190919,IF1909,IF1910,-0.0917830741112914,-0.10295729445304228,-1.0,-1.0,1
20190920,IF1909,IF1910,-0.020232935293685195,-0.04278024212091273,-1.0,-1.0,1
20190923,IF1910,IF1911,-0.3708312467362203,0.011371671432781345,-1.0,1.0,
20190924,IF1910,IF1911,-0.05148932089722841,0.09905032817347606,-1.0,1.0,
20190925,IF1910,IF1911,0.050793702383813574,0.1109649305470642,1.0,1.0,
20190926,IF1910,IF1911,-0.01600221399501502,0.012130980943285132,-1.0,1.0,
20190927,IF1910,IF1911,-0.06739161647453092,-0.15766269490002763,-1.0,-1.0,
20190930,IF1910,IF1911,0.11090178334645567,-0.11817985061198981,1.0,-1.0,
20191008,IF1910,IF1911,0.2871114146912954,0.17399580993401723,1.0,1.0,
20191009,IF1910,IF1911,-0.04462089512681275,0.03382003803837277,-1.0,1.0,
20191010,IF1910,IF1911,0.12769666413292483,0.16719125071919996,1.0,1.0,
20191011,IF1910,IF1911,-0.040768402447496105,0.15265089277931976,-1.0,1.0,
20191014,IF1910,IF1911,0.11578699550657341,0.041590241237864825,1.0,1.0,1
20191015,IF1910,IF1911,-0.03795964809202162,0.01836526097865466,-1.0,1.0,1
20191016,IF1910,IF1911,0.20216638771354714,-0.1547549627010392,1.0,-1.0,1
20191017,IF1910,IF1911,-0.061809867631426894,0.04023011270684642,-1.0,1.0,1
20191018,IF1910,IF1911,0.0028443094139654645,-0.1614023782639831,,-1.0,1
20191021,IF1911,IF1912,-0.01981957225617666,-0.0037458116416743546,-1.0,,
20191022,IF1911,IF1912,-0.15801725167739142,-0.06231097249848016,-1.0,-1.0,
20191023,IF1911,IF1912,-0.0042595996391124975,-0.035641477423949526,,-1.0,
20191024,IF1911,IF1912,0.025178111384333415,-0.01068953904561805,1.0,-1.0,
20191025,IF1911,IF1912,-0.04592445747977456,-0.08681766697484963,-1.0,-1.0,
20191028,IF1911,IF1912,-0.16444964693905859,-0.030592370697040076,-1.0,-1.0,
20191029,IF1911,IF1912,0.01619654055929554,0.047258974614543925,1.0,1.0,
20191030,IF1911,IF1912,-0.3453027752601041,-0.24155937224826085,-1.0,-1.0,
20191031,IF1911,IF1912,0.03804637571231174,0.11799140913460769,1.0,1.0,
20191101,IF1911,IF1912,0.03983793463724372,0.1346761444084089,1.0,1.0,
20191104,IF1911,IF1912,0.03165548161270383,0.09452282634436653,1.0,1.0,
20191105,IF1911,IF1912,0.1155978241853566,0.186668570017188,1.0,1.0,
20191106,IF1911,IF1912,0.02641692865865653,0.08873199208439621,1.0,1.0,
20191107,IF1911,IF1912,0.0951401856857006,0.10819427979314751,1.0,1.0,
20191108,IF1911,IF1912,-0.0075951946153193,-0.12369257743279749,,-1.0,
20191111,IF1911,IF1912,-0.08792986177988824,-0.021994491492023757,-1.0,-1.0,1
20191112,IF1911,IF1912,-0.03528613373846306,-0.004089154513766448,-1.0,,1
20191113,IF1911,IF1912,-0.10525177761966613,-0.007253448524622185,-1.0,,1
20191114,IF1911,IF1912,0.11973061538003825,-0.05472267014213022,1.0,-1.0,1
20191115,IF1911,IF1912,-0.06847606225411557,0.15672250348415764,-1.0,1.0,1
20191118,IF1912,IF2001,0.08953550121365324,0.12872568360849188,1.0,1.0,
20191119,IF1912,IF2001,0.08959504937003956,0.099397389352931,1.0,1.0,
20191120,IF1912,IF2001,0.012525075298076135,-0.12768151912639977,1.0,-1.0,
20191121,IF1912,IF2001,0.05672694852786741,0.0902466700957158,1.0,1.0,
20191122,IF1912,IF2001,0.07344511205852687,-0.13089887578044648,1.0,-1.0,
20191125,IF1912,IF2001,0.016741328346872083,-0.03423786407486085,1.0,-1.0,
20191126,IF1912,IF2001,-0.07827084147254117,0.05252401522024879,-1.0,1.0,
20191127,IF1912,IF2001,-0.04197221265129715,-0.14626426022543526,-1.0,-1.0,
